volcano,start,stop,duration,confirmed,vei,landform,type,summit_ft,underwater
Mono Lake Volcanic Field,NA,NA,NA,NA,NA,Cluster,Volcanic field,6959,FALSE
Alamagan,NA,NA,NA,NA,NA,Composite,Stratovolcano,2441,FALSE
Baker,NA,NA,NA,NA,NA,Composite,Stratovolcano,10778,FALSE
Guguan,NA,NA,NA,NA,NA,Composite,Stratovolcano,942,FALSE
Hood,NA,NA,NA,NA,NA,Composite,Stratovolcano,11240,FALSE
Ofu-Olosega,NA,NA,NA,NA,NA,Shield,Shield,2096,FALSE
Ugashik-Peulik,NA,NA,NA,NA,NA,Composite,Stratovolcano,4836,FALSE
Fisher,NA,NA,NA,NA,NA,Composite,Stratovolcano,3648,FALSE
Little Sitkin,NA,NA,NA,NA,NA,Composite,Stratovolcano,3852,FALSE
Hualalai,NA,NA,NA,NA,NA,Shield,Shield,8278,FALSE
Amak,NA,NA,NA,NA,NA,Composite,Stratovolcano,1795,FALSE
Haleakala,NA,NA,NA,NA,NA,Shield,Shield,10023,FALSE
Snowy Mountain,NA,NA,NA,NA,NA,Composite,Stratovolcano,7093,FALSE
Glacier Peak,NA,NA,NA,NA,NA,Composite,Stratovolcano,10541,FALSE
Takawangha,NA,NA,NA,NA,NA,Composite,Stratovolcano,4754,FALSE
Mono-Inyo Craters,NA,NA,NA,NA,NA,Cluster,Lava dome,9173,FALSE
Black Rock Desert,NA,NA,NA,NA,NA,Cluster,Volcanic field,5906,FALSE
Mammoth Mountain,NA,NA,NA,NA,NA,Minor,Lava dome,11053,FALSE
Shasta,NA,NA,NA,NA,NA,Composite,Stratovolcano,14163,FALSE
Hayes,NA,NA,NA,NA,NA,Composite,Stratovolcano,9954,FALSE
Uinkaret Field,NA,NA,NA,NA,NA,Cluster,Volcanic field,5102,FALSE
San Francisco Volcanic Field,NA,NA,NA,NA,NA,Cluster,Volcanic field,12631,FALSE
Markagunt Plateau,NA,NA,NA,NA,NA,Cluster,Volcanic field,9318,FALSE
Adams,NA,NA,NA,NA,NA,Composite,Stratovolcano,12277,FALSE
Jefferson,NA,NA,NA,NA,NA,Composite,Stratovolcano,10495,FALSE
Churchill,NA,NA,NA,NA,NA,Composite,Stratovolcano,16421,FALSE
Newberry,NA,NA,NA,NA,NA,Shield,Shield,7986,FALSE
Blue Lake Crater,NA,NA,NA,NA,NA,Minor,Maar,3727,FALSE
Belknap,NA,NA,NA,NA,NA,Shield,Shield,6873,FALSE
Tutuila,NA,NA,NA,NA,NA,Cluster,Tuff cone,2142,FALSE
Three Sisters,NA,NA,NA,NA,NA,Composite,Complex,10364,FALSE
Imuruk Lake,NA,NA,NA,NA,NA,Cluster,Volcanic field,2001,FALSE
Salton Buttes,NA,NA,NA,NA,NA,Minor,Lava dome,-131,FALSE
Craters of the Moon,NA,NA,NA,NA,NA,Cluster,Volcanic field,6578,FALSE
Ubehebe Craters,NA,NA,NA,NA,NA,Minor,Maar,2467,FALSE
Wapi Lava Field,NA,NA,NA,NA,NA,Shield,Shield,5240,FALSE
Yantarni,NA,NA,NA,NA,NA,Composite,Stratovolcano,4413,FALSE
Sand Mountain Field,NA,NA,NA,NA,NA,Cluster,Volcanic field,5459,FALSE
Buzzard Creek,NA,NA,NA,NA,NA,Minor,Tuff ring,2723,FALSE
Koniuji,NA,NA,NA,NA,NA,Composite,Stratovolcano,896,FALSE
Zuni-Bandera,NA,NA,NA,NA,NA,Cluster,Volcanic field,8366,FALSE
Jordan Craters,NA,NA,NA,NA,NA,Cluster,Volcanic field,4833,FALSE
Moffett,NA,NA,NA,NA,NA,Composite,Stratovolcano,3924,FALSE
Griggs,NA,NA,NA,NA,NA,Composite,Stratovolcano,7602,FALSE
Dana,NA,NA,NA,NA,NA,Composite,Stratovolcano,4442,FALSE
Black Peak,NA,NA,NA,NA,NA,Composite,Stratovolcano,3386,FALSE
Dotsero,NA,NA,NA,NA,NA,Minor,Maar,7316,FALSE
Escanaba Segment,NA,NA,NA,NA,NA,Cluster,Fissure vent,-5577,TRUE
Edgecumbe,NA,NA,NA,NA,NA,Cluster,Volcanic field,3182,FALSE
