volcano,start,start_error,start_year,stop,stop_error,stop_year,duration,confirmed,vei
Veniaminof,1956-03-16,15,1956,1956-05-23,0,1956,68,TRUE,3
Shishaldin,1955-07-16,15,1955,NA,0,NA,NA,TRUE,2
Kīlauea,1955-02-28,0,1955,1955-05-26,0,1955,87,TRUE,0
Kīlauea,1954-05-31,0,1954,1954-06-03,0,1954,3,TRUE,0
Pavlof,1953-11-25,0,1953,1954-08-16,15,1954,264,TRUE,1
Shishaldin,1953-10-04,3,1953,NA,0,NA,NA,TRUE,2
Spurr,1953-07-09,0,1953,1953-07-16,0,1953,7,TRUE,4
Atka Volcanic Complex,1953-07-02,182,1953,1954-07-02,182,1954,365,FALSE,NA
Akutan,1953-07-02,182,1953,NA,0,NA,NA,TRUE,2
Cleveland,1953-06-25,0,1953,NA,0,NA,NA,FALSE,NA
Iliamna,1953-03-01,0,1953,NA,0,NA,NA,FALSE,NA
Martin,1953-02-17,0,1953,NA,0,NA,NA,TRUE,NA
Trident,1953-02-15,0,1953,1954-10-05,0,1954,597,TRUE,3
Farallon de Pájaros,1952-10-26,5,1952,1953-04-15,0,1953,171,TRUE,2
Fukujin,1952-07-02,182,1952,NA,0,NA,NA,FALSE,NA
Iliamna,1952-07-02,182,1952,NA,0,NA,NA,FALSE,NA
Makushin,1952-07-02,182,1952,NA,0,NA,NA,FALSE,NA
Kīlauea,1952-06-27,0,1952,1952-11-10,0,1952,136,TRUE,0
Gareloi,1952-01-17,0,1952,NA,0,NA,NA,TRUE,2
Makushin,1951-12-20,0,1951,NA,0,NA,NA,TRUE,1
Cleveland,1951-11-01,0,1951,1951-12-16,15,1951,45,FALSE,NA
Akutan,1951-10-16,15,1951,NA,0,NA,NA,TRUE,2
Pavlof,1951-10-16,15,1951,1952-02-16,15,1952,123,TRUE,2
Bogoslof,1951-09-21,0,1951,NA,0,NA,NA,FALSE,NA
Farallon de Pájaros,1951-08-16,15,1951,NA,0,NA,NA,TRUE,2
Martin,1951-07-22,0,1951,NA,0,NA,NA,TRUE,NA
Fukujin,1951-07-15,45,1951,1951-10-15,45,1951,92,TRUE,0
Atka Volcanic Complex,1951-07-02,182,1951,NA,0,NA,NA,FALSE,NA
Shishaldin,1951-04-16,15,1951,1951-10-05,4,1951,172,TRUE,2
Great Sitkin,1950-11-05,0,1950,1950-11-29,0,1950,24,TRUE,NA
Pavlof,1950-07-31,0,1950,1951-05-16,15,1951,289,TRUE,2
Trident,1950-07-02,0,1950,1950-08-18,0,1950,47,TRUE,2
Gareloi,1950-07-02,182,1950,1951-07-02,182,1951,365,TRUE,1
Mauna Loa,1950-06-01,0,1950,1950-06-23,0,1950,22,TRUE,0
Great Sitkin,1949-12-30,0,1949,1950-01-07,0,1950,8,TRUE,1
Trident,1949-06-15,15,1949,NA,0,NA,NA,TRUE,NA
Mauna Loa,1949-01-06,0,1949,1949-05-31,0,1949,145,TRUE,0
Akutan,1948-04-29,0,1948,1948-08-07,0,1948,100,TRUE,2
Shishaldin,NA,0,1948,NA,0,NA,NA,TRUE,2
Iliamna,1947-06-15,15,1947,NA,0,NA,NA,FALSE,NA
Farallon de Pájaros,1947-01-15,16,1947,NA,0,NA,NA,FALSE,NA
Akutan,1946-12-15,16,1946,1947-01-15,16,1947,31,TRUE,2
Great Sitkin,1946-08-14,0,1946,NA,0,NA,NA,FALSE,NA
Shishaldin,1946-08-15,16,1946,1947-01-15,16,1947,153,TRUE,2
Mageik,NA,0,1946,NA,0,NA,NA,FALSE,NA
Okmok,1945-06-04,0,1945,1945-12-15,16,1945,194,TRUE,2
Great Sitkin,1945-03-15,16,1945,NA,0,NA,NA,TRUE,2
Esmeralda Bank,1944-08-20,10,1944,NA,0,NA,NA,FALSE,NA
Cleveland,1944-06-10,0,1944,1944-06-12,0,1944,2,TRUE,3
Veniaminof,1944-03-28,0,1944,NA,0,NA,NA,TRUE,2
Okmok,1943-06-15,15,1943,NA,0,NA,NA,TRUE,1
Farallon de Pájaros,NA,0,1943,NA,0,NA,NA,TRUE,2
St. Paul Island,NA,0,1943,NA,0,NA,NA,FALSE,NA
Mauna Loa,1942-04-26,0,1942,1942-05-10,0,1942,14,TRUE,0
Kanaga,NA,0,1942,NA,0,NA,NA,TRUE,1
